agv_id,from_state,to_state,transition_date,source_url,notes
wef_ai_governance_alliance,,active,2023-06-13,https://initiatives.weforum.org/ai-governance-alliance/home,Initial state at founding (seeded by Task 3 expansion)
rai_institute,,active,2016-01-01,https://www.responsible.ai/,Initial state at founding (seeded by Task 3 expansion)
gpai_rai_wg,,active,2020-06-15,https://gpai.ai/projects/responsible-ai/,Initial state at founding (seeded by Task 3 expansion)
gpai_data_gov_wg,,active,2020-06-15,https://gpai.ai/projects/data-governance/,Initial state at founding (seeded by Task 3 expansion)
cosai,,active,2024-07-18,https://www.coalitionforsecureai.org/,Initial state at founding (seeded by Task 3 expansion)
ai_alliance,,active,2023-12-05,https://thealliance.ai/,Initial state at founding (seeded by Task 3 expansion)
c2pa,,active,2021-02-22,https://c2pa.org/,Initial state at founding (seeded by Task 3 expansion)
content_authenticity_initiative,,active,2019-11-04,https://contentauthenticity.org/,Initial state at founding (seeded by Task 3 expansion)
itic_ai_principles,,active,2017-10-24,https://www.itic.org/policy/artificial-intelligence,Initial state at founding (seeded by Task 3 expansion)
bsa_ai_framework,,active,2021-06-15,https://www.bsa.org/policy-filings/bsa-framework-to-build-trust-in-ai,Initial state at founding (seeded by Task 3 expansion)
ada_lovelace,,active,2018-02-22,https://www.adalovelaceinstitute.org/,Initial state at founding (seeded by Task 3 expansion)
algorithmwatch,,active,2016-05-30,https://algorithmwatch.org/,Initial state at founding (seeded by Task 3 expansion)
ai_now,,active,2017-11-15,https://ainowinstitute.org/,Initial state at founding (seeded by Task 3 expansion)
govai_oxford,,active,2021-06-01,https://www.governance.ai/,Initial state at founding (seeded by Task 3 expansion)
clt_resilience,,active,2020-09-01,https://www.longtermresilience.org/,Initial state at founding (seeded by Task 3 expansion)
metr,,active,2022-08-01,https://metr.org/,Initial state at founding (seeded by Task 3 expansion)
apollo_research,,active,2023-05-10,https://www.apolloresearch.ai/,Initial state at founding (seeded by Task 3 expansion)
access_now_ai,,active,2019-02-01,https://www.accessnow.org/issue/artificial-intelligence/,Initial state at founding (seeded by Task 3 expansion)
ellis_network,,active,2018-12-06,https://ellis.eu/,Initial state at founding (seeded by Task 3 expansion)
cifar_aistrategy,,active,2017-03-22,https://cifar.ca/ai/,Initial state at founding (seeded by Task 3 expansion)
ircai,,active,2020-03-31,https://ircai.org/,Initial state at founding (seeded by Task 3 expansion)
gaiec,,active,2020-05-29,https://ieai.sot.tum.de/,Initial state at founding (seeded by Task 3 expansion)
apru_ai,,active,2018-08-25,https://www.apru.org/our-work/theme/artificial-intelligence-for-social-good/,Initial state at founding (seeded by Task 3 expansion)
iso_sc42_wg1,,active,2017-10-01,https://www.iso.org/committee/6794475.html,Initial state at founding (seeded by Task 3 expansion)
iso_sc42_wg3,,active,2018-04-01,https://www.iso.org/committee/6794475.html,Initial state at founding (seeded by Task 3 expansion)
iso_sc42_wg4,,active,2018-04-01,https://www.iso.org/committee/6794475.html,Initial state at founding (seeded by Task 3 expansion)
iso_sc42_wg5,,active,2018-04-01,https://www.iso.org/committee/6794475.html,Initial state at founding (seeded by Task 3 expansion)
ieee_p7001,,active,2016-12-08,https://standards.ieee.org/ieee/7001/6929/,Initial state at founding (seeded by Task 3 expansion)
ieee_p7003,,active,2017-02-16,https://standards.ieee.org/ieee/7003/6980/,Initial state at founding (seeded by Task 3 expansion)
ieee_p7007,,active,2016-12-08,https://standards.ieee.org/ieee/7007/7070/,Initial state at founding (seeded by Task 3 expansion)
ieee_p7010,,active,2017-10-01,https://standards.ieee.org/ieee/7010/7718/,Initial state at founding (seeded by Task 3 expansion)
itu_fg_ai4h,,active,2018-07-02,https://www.itu.int/en/ITU-T/focusgroups/ai4h/Pages/default.aspx,Initial state at founding (seeded by Task 3 expansion)
itu_fg_ai4ee,,active,2019-05-17,https://www.itu.int/en/ITU-T/focusgroups/ai4ee/Pages/default.aspx,Initial state at founding (seeded by Task 3 expansion)
aisi_network,,active,2024-05-21,https://www.aisi.gov.uk/,Initial state at founding (seeded by Task 3 expansion)
eu_ai_office,,active,2024-02-21,https://digital-strategy.ec.europa.eu/en/policies/ai-office,Initial state at founding (seeded by Task 3 expansion)
korea_aisi,,active,2024-11-27,https://www.msit.go.kr/,Initial state at founding (seeded by Task 3 expansion)
singapore_imda_ai,,active,2019-06-05,https://www.imda.gov.sg/,Initial state at founding (seeded by Task 3 expansion)
canada_aisi,,active,2024-11-12,https://ised-isde.canada.ca/site/ised/en,Initial state at founding (seeded by Task 3 expansion)
india_aisi,,active,2024-03-07,https://indiaai.gov.in/,Initial state at founding (seeded by Task 3 expansion)
france_cnil_ai,,active,2023-01-23,https://www.cnil.fr/en/artificial-intelligence,Initial state at founding (seeded by Task 3 expansion)
spain_aesia,,active,2023-08-22,https://www.aesia.gob.es/,Initial state at founding (seeded by Task 3 expansion)
australia_esafety_ai,,active,2022-01-23,https://www.esafety.gov.au/,Initial state at founding (seeded by Task 3 expansion)
china_cac_genai,,active,2023-08-15,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,Initial state at founding (seeded by Task 3 expansion)
icml_ai_safety_workshop,,active,2020-07-17,https://icml.cc/,Initial state at founding (seeded by Task 3 expansion)
iclr_trustworthy_ml,,active,2020-04-26,https://iclr.cc/,Initial state at founding (seeded by Task 3 expansion)
aaai_safe_ai_track,,active,2019-01-27,https://aaai.org/conference/aaai/,Initial state at founding (seeded by Task 3 expansion)
acl_trustnlp,,active,2022-07-14,https://trustnlpworkshop.github.io/,Initial state at founding (seeded by Task 3 expansion)
eaamo,,active,2021-10-05,https://eaamo.org/,Initial state at founding (seeded by Task 3 expansion)
forc,,active,2020-06-01,https://responsiblecomputing.org/,Initial state at founding (seeded by Task 3 expansion)
icail,,active,2001-05-21,https://iaail.org/,Initial state at founding (seeded by Task 3 expansion)
web_summit_ai,,active,2016-11-07,https://websummit.com/,Initial state at founding (seeded by Task 3 expansion)
cogx_london,,active,2017-06-12,https://cogxfestival.com/,Initial state at founding (seeded by Task 3 expansion)
responsible_ai_summit,,active,2022-10-11,https://www.responsibleaisummit.com/,Initial state at founding (seeded by Task 3 expansion)
reaim_hague_2023,,active,2023-02-15,https://www.government.nl/topics/reaim,Initial state at founding (seeded by Task 3 expansion)
reaim_seoul_2024,,active,2024-09-09,https://reaim2024.kr/en/,Initial state at founding (seeded by Task 3 expansion)
oecd_ai_ministerial_2024,,active,2024-05-03,https://www.oecd.org/en/about/events/2024/05/oecd-ministerial-council-meeting-2024.html,Initial state at founding (seeded by Task 3 expansion)
india_gpai_summit_2023,,active,2023-12-12,https://gpai.ai/projects/gpai-summit-2023/,Initial state at founding (seeded by Task 3 expansion)
cahai,active,succeeded,2022-04-01,https://www.coe.int/en/web/artificial-intelligence/cai,"Replaced by Committee on AI (CAI), which drafted the Framework Convention."
un_hlp_digital_cooperation,active,terminated,2019-06-10,https://www.un.org/en/pdfs/DigitalCooperation-report-for%20web.pdf,Concluded with publication of 'The Age of Digital Interdependence'.
reaim_hague_2023,active,succeeded,2024-09-09,https://reaim2024.kr/en/,Succeeded by REAIM Summit 2024 (Seoul).
itu_fg_ai4h,active,terminated,2023-05-01,https://www.itu.int/en/ITU-T/focusgroups/ai4h/Pages/default.aspx,Focus Group concluded after 5 years; work transitioned to ITU-T regular study groups.
itu_fg_ai4ee,active,terminated,2022-08-01,https://www.itu.int/en/ITU-T/focusgroups/ai4ee/Pages/default.aspx,Focus Group concluded with deliverables published.
germany_bnetza_ai,,active,2025-08-02,https://www.bundesnetzagentur.de/EN/Areas/Digitalisation/AI/start.html,Initial state recorded during batch-2 curation.
italy_acn_ai,,active,2025-08-02,https://www.acn.gov.it/,Initial state recorded during batch-2 curation.
netherlands_ap_ai,,active,2024-01-01,https://autoriteitpersoonsgegevens.nl/themas/algoritmes-ai,Initial state recorded during batch-2 curation.
brazil_anpd_ai,,active,2024-04-01,https://www.gov.br/anpd/pt-br/assuntos/inteligencia-artificial,Initial state recorded during batch-2 curation.
korea_pipc_ai,,active,2024-03-01,https://www.pipc.go.kr/eng/,Initial state recorded during batch-2 curation.
smart_africa_ai,,active,2021-05-01,https://smartafrica.org/blueprint/artificial-intelligence-for-africa/,Initial state recorded during batch-2 curation.
ecowas_digital_ai,,active,2024-09-01,https://www.ecowas.int/,Initial state recorded during batch-2 curation.
unesco_chairs_ai,,active,2022-11-23,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics,Initial state recorded during batch-2 curation.
neurips_responsible_genai,,active,2023-12-15,https://neurips.cc/,Initial state recorded during batch-2 curation.
ijcai_ai_safety_track,,active,2022-07-23,https://www.ijcai.org/,Initial state recorded during batch-2 curation.
uai_safety_workshop,,active,2023-08-04,https://www.auai.org/,Initial state recorded during batch-2 curation.
kdd_responsible_ai,,active,2021-08-14,https://www.kdd.org/,Initial state recorded during batch-2 curation.
